Cross_Validation	Asegurado_id	Ind_Ramo_Canal_Vigente	Meses_Antiguedad_Ramo_Canal	Canal_Agrup_Id	Ind_Exequial	Ind_Accidentes_Personales	Ind_Automoviles	Ind_Hogar	Ind_SuRenta	Ind_MasVida	Ind_Soat	Ind_Renta_Educativa	Ind_Otros_Personales	Ind_Salud	Ind_Otros_Empresariales	Ind_Arrendamiento	Ind_Renta_Pensional	Ind_Desempleo	Ind_Vida	Produccion_Emitida_Grupo_Cliente	Porc_RT_Grupo_Cliente	Frecuencia_Anual_Siniestros_Grupo_Cliente	Monto_Pagado_Siniestros_Grupo_Cliente	Recencia_Meses_Ultimo_Siniestros_Grupo_Cliente	Cont_Compania_Cliente	Regional_Contacto_id	Sexo_id	Edad	Numero_Hijos	Ind_Dependientes_Menores18	Ind_Dependientes_Mayores18	Nivel_Ingreso_id	Nivel_Estudios_id	Estado_Civil_id	Ind_Independiente	Cont_Quejas	Cont_Peticion	Cont_Inquietud	Ind_Tipo_Negocio_Colectivo	Ind_Forma_Pago_Mensual	Ind_Forma_Pago_Anual	Ind_Tipo_Pago_Caja_Sura	Ind_Tipo_Pago_Financiacion_Sura
0	92	1	10	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1,251,516.91	-12.23	0	0	0	1	2	1	33	0	0	0	8	-1	1	0	0	0	0	1	1	0	1	0
0	93	1	49	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	956,077.00	-6.68	0	0	0	1	5	1	55	0	0	1	7	-1	2	0	0	1	0	1	1	0	1	0
0	94	1	23	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	124,312.26	-1.51	0	0	0	1	3	2	-1	-1	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
1	95	0	17	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	252,289.59	5	1	1,530,214.00	8	1	3	1	35	-1	0	0	99	-1	-1	0	1	0	1	1	1	0	1	0
0	96	0	27	24,390,650	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,028,019.10	14.61	0	0	0	1	3	1	46	2	0	0	8	2	2	0	0	0	0	1	1	0	1	0
0	97	0	20	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	188,440.87	-88.07	0	0	0	1	3	2	23	-1	0	0	99	-1	-1	0	0	0	0	1	1	0	1	0
1	98	1	1	24,390,652	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	209,502.00	11.16	0	0	0	1	6	1	58	0	0	0	10	2	2	0	0	0	0	1	1	0	1	0
0	99	1	45	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2,668,753.00	6.45	0	0	0	1	4	1	70	4	0	0	8	-1	2	0	0	0	1	1	1	0	1	0
0	100	1	27	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,166,928.05	25.01	0.12	318,017.35	0.92	3	6	1	38	0	0	0	8	3	1	0	0	0	1	1	1	0	1	0
0	101	1	9	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	760,653.51	5.79	0.06	217,295.69	0.71	3	2	1	32	2	1	0	10	3	1	0	0	0	0	0	1	0	0	0
0	102	0	49	24,390,648	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	990,951.00	-17.21	0	0	0	1	3	1	37	-1	0	0	8	-1	2	0	0	0	1	0	0	1	0	1
0	103	1	3	24,390,651	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1,428,277.95	-12.23	0.24	966,284.34	2	2	2	1	38	-1	0	0	8	-1	-1	0	0	1	0	1	1	0	1	0
1	104	0	13	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,221,676.63	23.33	0.13	536,191.43	1.19	2	3	2	35	0	0	0	7	-1	2	0	0	1	0	1	0	1	1	0
0	105	1	40	24,390,651	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	90,655.89	-13.97	0	0	0	1	5	2	45	2	0	0	8	-1	2	0	0	1	0	1	1	0	1	0
0	106	1	2	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	663,515.70	25.01	0.11	544,040.93	1.14	2	5	1	23	-1	0	0	10	-1	-1	0	0	0	0	1	1	0	1	0
